10883805	18024035	FAILED 
10883805	5338929	FAILED 
10883805	1426488	FAILED 
1426488	18024035	FAILED 
1426488	5338929	FAILED 
1774474	53000349	FAILED 
18024035	5338929	FAILED 
22191989	53808975	FAILED 
109253	511311	FAILED 
12534168	511311	SUCCESS 
3390460	47610605	FAILED 
3390460	3652486	FAILED 
3641484	3661433	FAILED 
3661433	6576841	FAILED 
1051323	487100	FAILED 
1051323	1319565	FAILED 
1051323	2863724	FAILED 
1051323	442978	FAILED 
10883805	9588980	FAILED 
10883805	18297178	FAILED 
10883805	9667669	FAILED 
10883805	3661433	FAILED 
12119938	3652486	FAILED 
1319565	860907	FAILED 
1426488	3661433	FAILED 
1426488	9588980	FAILED 
1426488	18297178	FAILED 
1426488	9667669	FAILED 
18024035	3661433	FAILED 
18024035	9588980	FAILED 
18024035	18297178	FAILED 
18024035	9667669	FAILED 
18297178	5338929	FAILED 
24056770	3652486	FAILED 
2863724	860907	FAILED 
3652486	7212082	FAILED 
3661433	5338929	FAILED 
442978	860907	FAILED 
487100	860907	FAILED 
5338929	9588980	FAILED 
5338929	9667669	FAILED 
1743511	3618001	FAILED 
1743511	2520328	FAILED 
1743511	2117705	FAILED 
2117705	3523206	FAILED 
2117705	3509954	FAILED 
250913	3390472	FAILED 
2520328	3523206	FAILED 
2520328	3509954	FAILED 
3390472	50446799	FAILED 
3509954	3618001	FAILED 
3523206	3618001	FAILED 
1051323	3652486	FAILED 
1051323	1151717	FAILED 
10519754	36174753	FAILED 
10519754	11668578	FAILED 
10519754	11814864	FAILED 
10825716	36174753	FAILED 
10825716	11668578	FAILED 
10825716	11814864	FAILED 
10882077	18134075	FAILED 
1151717	860907	FAILED 
12119938	3390460	FAILED 
1743511	3652486	FAILED 
18134075	2406749	FAILED 
18134075	53017027	FAILED 
2117705	3652486	FAILED 
22894467	3390472	FAILED 
23439807	4961370	FAILED 
24056770	3390460	FAILED 
2520328	3652486	FAILED 
3159960	3581279	FAILED 
3159960	3373129	FAILED 
3509954	3652486	FAILED 
3523206	3652486	FAILED 
3547121	4961370	FAILED 
3618001	3652486	FAILED 
3652486	860907	FAILED 
3836611	4961370	FAILED 
250913	3552628	FAILED 
3552628	50446799	FAILED 
1051323	3390460	FAILED 
10882077	22904520	FAILED 
10882077	55263630	FAILED 
10883805	3641484	FAILED 
10883805	6576841	FAILED 
10883805	864920	FAILED 
1151717	4961370	FAILED 
1151717	3652486	FAILED 
1151717	51937896	FAILED 
1151717	47610605	FAILED 
1151717	5717413	FAILED 
12119938	7212082	FAILED 
1426488	3641484	FAILED 
1426488	6576841	FAILED 
1426488	864920	FAILED 
1577279	199069	FAILED 
1693811	199069	FAILED 
1743511	3390460	FAILED 
1774474	336509	FAILED 
Final Result: 	1.0%
