1;1;1993
1;2;1993
2;3;1993
2;4;1993
2;5;1993
3;6;1997
4;7;1998
5;8;1992
6;9;1989
6;10;1989
7;11;2005
8;12;2004
9;13;2000
9;14;2000
9;15;2000
9;16;2000
10;17;2004
10;18;2004
10;19;2004
10;20;2004
11;21;2001
11;22;2001
11;23;2001
12;24;2004
13;21;2002
13;22;2002
13;23;2002
14;25;2000
14;26;2000
15;27;2002
15;28;2002
16;29;2001
17;27;2004
17;28;2004
18;30;2000
18;31;2000
18;32;2000
19;33;2002
20;34;2000
20;32;2000
21;35;2001
21;36;2001
22;37;2003
22;38;2003
22;39;2003
22;40;2003
23;41;2000
23;42;2000
23;43;2000
24;44;2000
25;45;2004
25;46;2004
26;44;2001
27;45;2002
27;47;2002
28;44;2001
29;48;2002
29;49;2002
30;44;2002
31;50;2001
31;51;2001
32;44;2003
33;52;2005
33;53;2005
34;44;2004
35;54;2003
35;55;2003
35;56;2003
35;57;2003
36;58;2003
36;59;2003
36;60;2003
37;61;2004
37;62;2004
38;63;2003
39;64;2004
39;65;2004
40;66;2004
40;67;2004
41;68;2003
41;69;2003
42;66;2005
42;67;2005
43;68;2004
43;69;2004
44;70;2000
44;71;2000
45;72;2004
45;73;2004
46;74;2000
46;75;2000
46;76;2000
47;77;2005
47;78;2005
47;79;2005
47;80;2005
48;81;2001
48;82;2001
49;83;2001
49;84;2001
50;85;2002
50;86;2002
51;87;2002
52;88;2001
52;89;2001
52;90;2001
53;91;2005
53;92;2005
53;93;2005
54;94;2001
54;95;2001
55;96;2000
55;97;2000
55;98;2000
55;99;2000
56;97;2000
56;96;2000
57;100;2001
57;101;2001
58;97;2003
58;102;2003
59;103;2001
60;104;2000
61;105;2001
61;106;2001
61;107;2001
62;108;2002
62;109;2002
63;110;2000
63;111;2000
64;112;2004
64;113;2004
64;114;2004
65;115;2000
65;116;2000
65;117;2000
66;118;2002
66;70;2002
67;119;2005
67;120;2005
67;121;2005
68;118;2000
68;70;2000
68;71;2000
69;122;2000
69;123;2000
69;124;2000
69;125;2000
70;126;2004
70;127;2004
71;128;2000
71;129;2000
71;127;2000
71;130;2000
72;119;2004
72;121;2004
73;131;2005
73;42;2005
73;132;2005
74;133;2000
75;134;2002
76;135;2001
76;51;2001
77;136;2001
77;137;2001
78;138;2002
78;139;2002
79;140;2005
79;141;2005
79;142;2005
80;143;2002
80;47;2002
81;140;2005
81;142;2005
82;144;2001
82;145;2001
83;140;2001
83;142;2001
83;146;2001
84;147;2002
84;148;2002
85;149;2003
85;150;2003
86;151;2001
86;121;2001
87;152;2001
87;153;2001
88;154;2005
88;155;2005
89;156;2001
90;157;2005
90;158;2005
91;154;2005
91;159;2005
91;160;2005
91;161;2005
91;162;2005
92;163;2003
92;102;2003
93;164;2004
93;165;2004
94;166;2000
94;32;2000
95;167;2002
95;168;2002
95;169;2002
95;170;2002
95;171;2002
95;172;2002
95;173;2002
95;174;2002
96;175;2001
96;176;2001
97;177;2002
97;178;2002
97;179;2002
97;180;2002
97;181;2002
98;182;2003
98;44;2003
99;177;2001
99;179;2001
99;178;2001
99;180;2001
99;181;2001
100;183;2002
100;184;2002
101;185;2001
101;186;2001
102;187;2001
103;188;2004
103;61;2004
103;189;2004
104;190;2005
104;176;2005
105;191;2000
105;192;2000
105;60;2000
106;193;2003
106;194;2003
107;195;2003
107;196;2003
108;197;2003
108;198;2003
108;199;2003
109;200;2003
109;201;2003
110;202;2004
110;203;2004
111;204;2001
112;205;2001
112;190;2001
112;176;2001
113;204;2001
113;206;2001
114;207;2001
114;208;2001
115;209;2005
115;210;2005
115;211;2005
116;212;2004
116;213;2004
116;214;2004
116;215;2004
117;216;2001
118;217;2004
118;189;2004
119;218;2000
119;49;2000
120;219;2004
120;220;2004
121;221;2001
121;222;2001
122;22;2003
122;223;2003
122;224;2003
123;225;2004
